"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population"
"T0" 46 "spl" "T0in" -1018.95575773113 -1.92512572097295 -1236.86513133004 "T046splT0in"
"T0" 46 "spl" "T0in" 1612.61324226887 33.2554742790271 8795.23486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1009.14275773113 -38.3533257209729 -358.838131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -301.821757731126 9.40977427902705 -727.228131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -906.628757731126 52.118274279027 -454.269131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -909.173757731126 27.8637742790271 -76.1585313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -782.158757731126 -12.681125720973 -650.318131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1467.10324226887 21.071874279027 -1756.95513133004 "T046splT0in"
"T0" 46 "spl" "T0in" 4756.58324226887 -23.583665720973 263.291868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -963.892757731126 39.512874279027 -1341.77513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1058.21375773113 21.668674279027 -681.103131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1012.43375773113 -1.15872572097295 -1164.38513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -948.167757731126 -5.16292572097295 -135.744531330036 "T046splT0in"
"T0" 46 "spl" "T0in" -829.537757731126 -31.122515720973 -1210.22513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -969.756757731126 -2.72052572097295 4105.21486866996 "T046splT0in"
"T0" 46 "spl" "T0in" 15616.4632422689 -58.7972257209729 -253.337131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -717.720757731126 -1.65562572097295 -320.051131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -964.699757731126 11.1567742790271 3029.30486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1030.78575773113 69.990274279027 2918.41486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -909.135757731126 47.950674279027 -1501.42513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1070.03375773113 -108.207425720973 -912.471131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1018.09475773113 -86.7489257209729 -596.305131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1081.28175773113 50.765374279027 -262.866131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 3358.51324226887 29.1901742790271 -951.380131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -795.041757731126 -44.323125720973 -439.537131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 233.633242268874 16.793874279027 -637.772131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 20467.1632422689 -72.452325720973 -96.2161313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -476.111757731126 22.8023742790271 -2473.44513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -960.655757731126 29.679774279027 41.7008686699637 "T046splT0in"
"T0" 46 "spl" "T0in" -1034.76375773113 -90.9257257209729 -740.561131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1075.66175773113 39.883074279027 -261.881131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -893.520757731126 23.0882742790271 -969.372131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -903.364757731126 21.615974279027 -940.402131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -665.181757731126 -47.622725720973 -489.026131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 14931.9632422689 -50.179425720973 11473.76486867 "T046splT0in"
"T0" 46 "spl" "T0in" -1000.99775773113 110.294674279027 3437.57486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -541.031757731126 -11.305625720973 2886.51486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -964.564757731126 -82.3160257209729 -1226.62513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1080.96375773113 54.9539742790271 -1194.60513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -994.425757731126 8.19457427902705 -647.413131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -711.252757731126 -1.62662572097295 -473.965131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1022.74775773113 -12.479025720973 -358.399131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -83.8167577311262 -69.453825720973 -1527.42513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1063.34275773113 2.75727427902705 -162.553931330036 "T046splT0in"
