"","V1","V2"
"108",-2.10141670652124,-11.959538422156
"109",-2.10242067002868,-11.9581197085123
"110",-2.10264853701613,-11.9578040280981
"111",-2.1033057491663,-11.9569066232905
"112",-2.10349324815034,-11.9566541566714
"113",-2.10362106871137,-11.9564829516022
"114",-2.10363975341706,-11.9564579864233
"115",-2.10408349731735,-11.9558696911586
"116",-2.10462392596047,-11.9551651422517
"117",-2.1049907773056,-11.9546943421125
"118",-2.10581415598653,-11.9536596035938
"119",-2.10822300784003,-11.9508067135625
"120",-2.10931475791081,-11.9495993562163
"121",-2.10949430877656,-11.9494059177898
"122",-2.11057329755399,-11.948274031191
"123",-2.11222195204336,-11.9466461253568
"124",-2.11242081112612,-11.9464581063376
"125",-2.11319673289168,-11.9457417351499
"126",-2.11343982788502,-11.9455229642901
"127",-2.11436178972936,-11.9447179515821
"128",-2.11501846906004,-11.9441685353238
"129",-2.11517745105336,-11.9440385363698
"130",-2.11554866208433,-11.943739593479
"131",-2.11683790278043,-11.9427516885704
"132",-2.11687292121937,-11.9427259536516
"133",-2.11801166356275,-11.9419211459841
"134",-2.11806752589265,-11.9418832761264
"135",-2.11808468585061,-11.9418716736092
"136",-2.11933005961353,-11.9410681704566
"137",-2.11955757238613,-11.9409296793778
"138",-2.11972710935256,-11.9408281661003
"139",-2.12074120342787,-11.9402513863966
"140",-2.12286991014444,-11.9392156628748
"141",-2.12356459254787,-11.9389312032066
"142",-2.12357988694737,-11.9389252476652
"143",-2.12381243977291,-11.9388363452463
"144",-2.12430803856578,-11.938657336113
"145",-2.12474869571219,-11.9385103160674
"146",-2.12488955106026,-11.9384657660461
"147",-2.1250717138417,-11.9384099222346
"148",-2.12559716662625,-11.9382600928027
"149",-2.12587492399969,-11.938187635311
"150",-2.12589680699081,-11.9381821227956
"151",-2.12608493549748,-11.9381358927853
"152",-2.12610685033543,-11.9381306411505
"153",-2.12627100768027,-11.9380921653905
"154",-2.12651208889461,-11.938038276527
"155",-2.12660557090516,-11.9380181382001
"156",-2.12663703954746,-11.9380114433358
"157",-2.12671617324189,-11.937994775994
"158",-2.12678215859431,-11.9379810386752
"159",-2.12703058547674,-11.9379299791435
"160",-2.12713167379519,-11.9379089665516
"161",-2.12713218616288,-11.9379088586328
"162",-2.12719255506449,-11.9378959846647
"163",-2.12721212064247,-11.937891728366
"164",-2.12725131423628,-11.937883034807
"165",-2.12741861693238,-11.9378410503018
"166",-2.12750526239688,-11.9378110845855
"167",-2.12751095397109,-11.9378086043897
"168",-2.12752024883402,-11.9378043147348
"169",-2.12757123156917,-11.9377688564614
"170",-2.12757307376163,-11.9377665036119
"171",-2.12757848759529,-11.9377575514674
"172",-2.12758199216879,-11.9377456946893
"173",-2.12758229041694,-11.937741877593
"174",-2.12758216075124,-11.9377374651868
"175",-2.12757631794278,-11.9377185653089
"176",-2.12756744861868,-11.937705004007
"177",-2.1274920513676,-11.9376437785688
"178",-2.12748503793832,-11.9376394248034
"179",-2.12748029910142,-11.9376365407079
"180",-2.12727775764055,-11.9375337985294
"181",-2.12727356705577,-11.9375318897282
"182",-2.12718889225954,-11.9374941901682
"183",-2.12707992420255,-11.9374473740401
"184",-2.12704645516701,-11.9374332476293
"185",-2.12690942839542,-11.9373761846045
"186",-2.12601065934663,-11.9370073068524
"187",-2.12430816095772,-11.9362678983437
"188",-2.12395517670139,-11.9361060859853
"189",-2.12387956724366,-11.9360710519831
"190",-2.12239058535211,-11.9353553851477
"191",-2.12207147549787,-11.9351959162859
"192",-2.12125461933569,-11.9347785263175
"193",-2.12038044788244,-11.9343179053732
"194",-2.11978364638405,-11.9339955807811
"195",-2.11918101911297,-11.9336639292679
"196",-2.11899650796165,-11.933561178847
"197",-2.11860557184484,-11.9333416510658
"198",-2.11790406436718,-11.9329416664003
