"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population" "V1" "V2" "V3" "cluster"
"T0" 46 "spl" "T0in" 2140.75324226887 -42.2604257209729 -2097.69513133004 "T046splT0in" -1.15424342760224 6.18532813147295 -0.703334626067297 2
"T0" 46 "spl" "T0in" -1008.04975773113 -13.793025720973 1033.88486866996 "T046splT0in" -0.764871972886508 2.97020781592119 1.57045847524343 2
"T0" 46 "spl" "T0in" -1015.42775773113 -82.582125720973 -223.344831330036 "T046splT0in" 9.15892605176788 -1.10815941735518 5.13583773721395 1
"T0" 46 "spl" "T0in" -1072.04575773113 76.508674279027 -1430.02513133004 "T046splT0in" -6.55722995409149 -4.84429966851485 3.84664982904135 1
"T0" 46 "spl" "T0in" -1071.90975773113 -46.433925720973 -1158.70513133004 "T046splT0in" 8.13378528943878 -4.08689104958784 3.62423891175924 1
"T0" 46 "spl" "T0in" -151.616757731126 39.997974279027 -930.475131330036 "T046splT0in" -3.34027381548065 2.77769578055132 -1.47973328481974 2
"T0" 46 "spl" "T0in" -233.706757731126 18.601874279027 5108.05486866996 "T046splT0in" -1.57686694273133 4.51400292471635 3.77912372697531 2
"T0" 46 "spl" "T0in" 1043.30324226887 -7.20112572097295 1283.36486866996 "T046splT0in" -1.17573841222901 5.42668593481767 0.300094548355921 2
"T0" 46 "spl" "T0in" -1166.02575773113 47.9312742790271 -446.583131330036 "T046splT0in" -4.85114951738495 -7.21351706429732 2.08386320222555 1
"T0" 46 "spl" "T0in" -1104.13675773113 9.00437427902705 -308.475131330036 "T046splT0in" 0.933722180040891 -8.59797274514449 0.440088186156138 1
"T0" 46 "spl" "T0in" -924.574757731126 -6.23722572097295 -982.132131330036 "T046splT0in" 2.78654531827789 -8.35315024300825 1.73270434487997 1
"T0" 46 "spl" "T0in" 1659.40324226887 -46.4161257209729 -903.753131330036 "T046splT0in" -0.441127854672854 5.48105109289873 -0.739501890051977 2
"T0" 46 "spl" "T0in" -1099.79875773113 35.519274279027 -579.219131330036 "T046splT0in" -3.68687577852387 -8.00760352059615 1.66901630510031 1
"T0" 46 "spl" "T0in" -1144.48975773113 1.85247427902705 -681.737131330036 "T046splT0in" 1.50334517351013 -8.59957014962447 0.847961041819437 1
"T0" 46 "spl" "T0in" -862.309757731126 37.7536742790271 -862.923131330036 "T046splT0in" -4.08707042345185 -7.79127871438277 2.24935144532858 1
"T0" 46 "spl" "T0in" 9289.66324226887 -35.922715720973 1156.75486866996 "T046splT0in" -2.35164542802948 8.77842343405473 2.20623654473959 2
"T0" 46 "spl" "T0in" -973.394757731126 31.9825742790271 -462.431131330036 "T046splT0in" -3.23243661531586 -8.20090853616011 1.32969683755575 1
"T0" 46 "spl" "T0in" -680.216757731126 -51.429425720973 905.864868669964 "T046splT0in" 6.15228752485138 3.361674671924 -2.55251913915934 2
"T0" 46 "spl" "T0in" -862.352757731126 114.234674279027 -1127.17113133004 "T046splT0in" -6.97422309526581 -3.97198187752974 3.86583227266012 1
"T0" 46 "spl" "T0in" -918.761757731126 -26.870080720973 -1158.75513133004 "T046splT0in" 5.59323124280792 -6.74257742806685 2.43960720647512 1
"T0" 46 "spl" "T0in" -979.013757731126 -47.1825257209729 -945.559131330036 "T046splT0in" 8.14092831006866 -4.16984974786055 3.55231899369894 1
"T0" 46 "spl" "T0in" -718.769757731126 14.844674279027 -722.604131330036 "T046splT0in" -1.6611220420279 -2.22736155434859 -5.11415320288004 2
"T0" 46 "spl" "T0in" -951.065757731126 -55.946425720973 -1044.23913133004 "T046splT0in" 8.396261256846 -3.22415029450667 4.12893814195333 1
"T0" 46 "spl" "T0in" 501.393242268874 45.823774279027 10257.56486867 "T046splT0in" -1.8880198777594 5.41306269720781 4.88589972604452 2
"T0" 46 "spl" "T0in" -917.731757731126 -17.7829757209729 -897.408131330036 "T046splT0in" 4.69124893537384 -7.50762545510542 1.81922048677145 1
"T0" 46 "spl" "T0in" -928.791757731126 34.4189742790271 191.053868669964 "T046splT0in" -3.77034826883454 -7.77134215279829 0.878595892083033 1
"T0" 46 "spl" "T0in" -932.331757731126 -118.533225720973 -758.072131330036 "T046splT0in" 8.92294029584747 0.339341374976815 5.82973593820272 1
"T0" 46 "spl" "T0in" 1290.52324226887 -33.0469857209729 -571.112131330036 "T046splT0in" -0.287394705501979 4.72345698431718 -0.964536007750647 2
"T0" 46 "spl" "T0in" -1060.66375773113 -44.754625720973 -666.622131330036 "T046splT0in" 8.29874328962188 -4.54011856957686 3.12622136224447 1
"T0" 46 "spl" "T0in" -969.321757731126 24.533674279027 -576.703131330036 "T046splT0in" -2.28449149736542 -8.52410017892134 1.09568417419134 1
"T0" 46 "spl" "T0in" -1016.84175773113 -27.996698720973 -849.935131330036 "T046splT0in" 5.84762815824371 -6.88083588525069 1.94659990419088 1
"T0" 46 "spl" "T0in" -942.087757731126 59.104074279027 -214.256531330036 "T046splT0in" -5.91305013307709 -5.96301257058394 2.70269507516561 1
"T0" 46 "spl" "T0in" -1065.08675773113 -50.5721257209729 -733.291131330036 "T046splT0in" 8.55639557233673 -3.61534153863203 3.81547159303366 1
"T0" 46 "spl" "T0in" -1012.07075773113 35.781374279027 -944.127131330036 "T046splT0in" -3.76651306757111 -7.9583424274565 2.3308131133431 1
"T0" 46 "spl" "T0in" -1051.22975773113 -26.7141517209729 -467.023131330036 "T046splT0in" 6.36249021879059 -6.65981518670332 1.72197312463461 1
"T0" 46 "spl" "T0in" 1379.48324226887 -24.877315720973 -976.070131330036 "T046splT0in" -0.351035523501818 4.60886061743486 -1.03727346311869 2
"T0" 46 "spl" "T0in" -930.997757731126 30.1940742790271 -403.259131330036 "T046splT0in" -3.19267244943756 -8.21279036446822 1.2445071374291 1
"T0" 46 "spl" "T0in" -1051.82675773113 -77.8498257209729 -1057.03213133004 "T046splT0in" 8.67187408796173 -1.15131651803267 5.1126963530892 1
"T0" 46 "spl" "T0in" -770.133757731126 22.888974279027 276.969868669964 "T046splT0in" -3.00639672884125 0.00875813320863389 -5.70343190084757 2
"T0" 46 "spl" "T0in" -967.860757731126 52.181174279027 -1106.01013133004 "T046splT0in" -4.98271842607636 -7.09581553384077 2.90745181192098 1
