"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population" "V1" "V2"
"T0" 46 "spl" "T0in" -1015.21475773113 -31.047255720973 -826.412131330036 "T046splT0in" 7.71458227325585 -6.55227876843513
"T0" 46 "spl" "T0in" -1025.27075773113 -46.2545257209729 -957.266131330036 "T046splT0in" 11.9937833039871 -2.54387308301032
"T0" 46 "spl" "T0in" -1118.11875773113 -13.909125720973 -728.568131330036 "T046splT0in" 5.31086618591454 -7.83909012021125
"T0" 46 "spl" "T0in" -520.186757731126 81.029674279027 -1745.89513133004 "T046splT0in" -9.83012550186012 -0.246529769316321
"T0" 46 "spl" "T0in" -1134.63275773113 36.326574279027 175.363868669964 "T046splT0in" -6.35963456939552 -7.1983459109217
"T0" 46 "spl" "T0in" -998.138757731126 6.54687427902705 -647.404131330036 "T046splT0in" 2.03274638343957 -8.53722740353644
"T0" 46 "spl" "T0in" -1010.43775773113 39.3961742790271 -1157.36513133004 "T046splT0in" -7.84785335372779 -7.99536014737189
"T0" 46 "spl" "T0in" -975.859757731126 -2.67882572097295 -307.223131330036 "T046splT0in" 2.82973892379906 -7.82568908871711
"T0" 46 "spl" "T0in" -929.147757731126 -45.003925720973 -454.909131330036 "T046splT0in" 11.4302542893996 -2.03322721661628
"T0" 46 "spl" "T0in" 11969.2632422689 -48.976525720973 -608.905131330036 "T046splT0in" -2.62971489738319 11.9089329129308
"T0" 46 "spl" "T0in" 2140.75324226887 -42.2604257209729 -2097.69513133004 "T046splT0in" -0.235097783167099 7.5833079701513
"T0" 46 "spl" "T0in" -1008.04975773113 -13.793025720973 1033.88486866996 "T046splT0in" 1.18263454128411 0.440960202202196
"T0" 46 "spl" "T0in" -1015.42775773113 -82.582125720973 -223.344831330036 "T046splT0in" 13.1045611589065 1.13302393613755
"T0" 46 "spl" "T0in" -1072.04575773113 76.508674279027 -1430.02513133004 "T046splT0in" -11.6393200666795 -4.12702060879767
"T0" 46 "spl" "T0in" -1071.90975773113 -46.433925720973 -1158.70513133004 "T046splT0in" 12.1041272370925 -2.46244908513129
"T0" 46 "spl" "T0in" -151.616757731126 39.997974279027 -930.475131330036 "T046splT0in" -2.58364599059913 4.10333370028436
"T0" 46 "spl" "T0in" -233.706757731126 18.601874279027 5108.05486866996 "T046splT0in" -5.34425609420631 7.18922685442864
"T0" 46 "spl" "T0in" 1043.30324226887 -7.20112572097295 1283.36486866996 "T046splT0in" -0.445250353325342 6.6673710232824
"T0" 46 "spl" "T0in" -1166.02575773113 47.9312742790271 -446.583131330036 "T046splT0in" -8.11807172607276 -6.99544025601447
"T0" 46 "spl" "T0in" -1104.13675773113 9.00437427902705 -308.475131330036 "T046splT0in" 2.15487296272423 -8.08473659695685
"T0" 46 "spl" "T0in" -924.574757731126 -6.23722572097295 -982.132131330036 "T046splT0in" 4.0640838830581 -8.79638839901984
"T0" 46 "spl" "T0in" 1659.40324226887 -46.4161257209729 -903.753131330036 "T046splT0in" 0.32561958719399 6.68090175448358
"T0" 46 "spl" "T0in" -1099.79875773113 35.519274279027 -579.219131330036 "T046splT0in" -6.89612500976417 -7.8103425616175
"T0" 46 "spl" "T0in" -1144.48975773113 1.85247427902705 -681.737131330036 "T046splT0in" 2.75144273925927 -8.39740635098518
"T0" 46 "spl" "T0in" -862.309757731126 37.7536742790271 -862.923131330036 "T046splT0in" -7.67656534026954 -7.78685451687873
"T0" 46 "spl" "T0in" 9289.66324226887 -35.922715720973 1156.75486866996 "T046splT0in" -2.47233288596961 11.2317049389929
"T0" 46 "spl" "T0in" -973.394757731126 31.9825742790271 -462.431131330036 "T046splT0in" -6.23241060088966 -7.97703624905646
"T0" 46 "spl" "T0in" -680.216757731126 -51.429425720973 905.864868669964 "T046splT0in" 6.24500639129784 3.06787251292169
"T0" 46 "spl" "T0in" -862.352757731126 114.234674279027 -1127.17113133004 "T046splT0in" -11.9036556990037 -3.35881735028327
"T0" 46 "spl" "T0in" -918.761757731126 -26.870080720973 -1158.75513133004 "T046splT0in" 7.89872486282494 -7.20654941739142
"T0" 46 "spl" "T0in" -979.013757731126 -47.1825257209729 -945.559131330036 "T046splT0in" 12.0194047181716 -2.55110646428168
"T0" 46 "spl" "T0in" -718.769757731126 14.844674279027 -722.604131330036 "T046splT0in" -1.40039699386451 -3.62043977917731
"T0" 46 "spl" "T0in" -951.065757731126 -55.946425720973 -1044.23913133004 "T046splT0in" 12.7111771791091 -1.47477151097358
"T0" 46 "spl" "T0in" 501.393242268874 45.823774279027 10257.56486867 "T046splT0in" -5.94467752288673 8.60464786349236
"T0" 46 "spl" "T0in" -917.731757731126 -17.7829757209729 -897.408131330036 "T046splT0in" 6.63307459045556 -7.55116916836799
"T0" 46 "spl" "T0in" -928.791757731126 34.4189742790271 191.053868669964 "T046splT0in" -6.35688560317848 -7.18963981808723
"T0" 46 "spl" "T0in" -932.331757731126 -118.533225720973 -758.072131330036 "T046splT0in" 13.5537493913284 2.82392667590081
"T0" 46 "spl" "T0in" 1290.52324226887 -33.0469857209729 -571.112131330036 "T046splT0in" 0.370332905541921 5.96713374911248
